,LandingPositionX,LandingPositionY
2,104.179557800293,295.970184326172
5,63.701732635498,89.854118347168
18,11.3423652648926,209.42463684082
22,-44.1758651733398,146.638641357422
28,1.23009979724884,6.42695569992065
32,,
36,-157.686660766602,241.889114379883
37,-155.963638305664,205.806427001953
42,29.9090175628662,84.111328125
46,9.77657699584961,18.4283123016357
51,,
54,,
56,95.6219329833984,173.702713012695
58,-2.98840594291687,4.15554809570312
61,13.7537899017334,67.6411666870117
66,13.9784107208252,85.8447647094727
70,48.5369567871094,197.780044555664
76,,
78,-153.073135375977,193.851043701172
81,-130.120376586914,214.734359741211
83,5.65792846679688,5.34610748291016
88,-39.55859375,55.6518936157227
92,2.00273442268372,4.95317602157593
97,,
105,110.839706420898,187.200302124023
109,,
115,86.6113586425781,42.163745880127
122,,
125,7.63543176651001,142.914321899414
128,,
134,-10.8024320602417,19.9185333251953
138,135.392944335938,134.424789428711
144,-77.2458953857422,300.018463134766
149,,
153,-13.9738216400146,95.6861572265625
156,17.708044052124,224.467788696289
158,87.0595855712891,270.660034179688
159,50.4799499511719,250.623321533203
163,26.9064083099365,92.2176055908203
176,247.518646240234,330.531555175781
179,-2.28215432167053,5.66064691543579
183,,
189,,
192,37.024341583252,175.312194824219
195,-2.54286551475525,5.44559383392334
197,4.33324909210205,5.35678386688232
202,,
208,,
211,2.40341830253601,2.08558535575867
216,,
220,,
221,-3.13233518600464,388.388366699219
222,-73.8585586547852,90.5823211669922
230,1.1729142665863,5.81035947799683
233,-6.52040338516235,21.4831657409668
235,25.2318229675293,245.849670410156
241,100.973182678223,58.3181838989258
245,-168.829162597656,324.11962890625
252,40.3300170898438,161.953186035156
258,-14.489218711853,379.489044189453
264,-199.20915222168,232.675598144531
270,-10.4195137023926,41.3346138000488
273,-19.0998630523682,85.5048370361328
277,-151.884384155273,185.010498046875
284,,
289,,
292,-6.00376605987549,17.4485721588135
293,68.636589050293,239.808303833008
298,-1.21484172344208,17.1317310333252
302,-4.53283929824829,9.70517539978027
304,-48.2854499816895,165.578353881836
306,17.7381992340088,224.434051513672
312,,
314,0.635938346385956,4.02628517150879
319,,
320,24.2066707611084,438.914459228516
321,10.4447431564331,275.208953857422
325,-2.93236255645752,7.39248085021973
333,-54.9650573730469,90.7662200927734
334,25.0621299743652,325.978088378906
341,2.15203976631165,5.89802598953247
